Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
14-Nov,176.8,273.8,4.91,0.07293,105.5,121.1,213.7,187.5
14-Dec,323.6,399.7,35.38,0.07013,252.2,346.3,529.8,398.8
15-Jan,349.6,419.5,39.66,0.0912,294.6,360.8,488.6,383.1
15-Feb,339.7,416.3,8.003,0.07978,273.2,315.5,394.3,294.8
15-Mar,248,323.5,5.565,0.07295,196.6,233.7,297.1,186.5
15-Apr,130.4,213.1,2.762,0.06929,95.17,90.08,107.6,78.23
15-May,65.29,105.5,1.472,0.07834,16.19,10.58,7.999,15.83
15-Jun,11.17,38.16,0.9242,0.08508,2.26,3.79,0.4199,2.803
15-Jul,3.136,9.612,0.2817,0.1345,0.3946,0.4523,0.000004403,1.819
15-Aug,2.882,4.605,0.2852,0.13,1.704,0.07954,0,1.935
15-Sep,50.13,88.53,0.8674,0.09984,11.23,1.601,0.02743,10.42
15-Oct,142.9,224,2.382,0.09008,61.16,31.19,48.38,62.39
15-Nov,170.6,242.4,4.465,0.06405,150.8,101.2,176.8,213.4
15-Dec,223.4,280.9,22.11,0.04742,261.4,249.1,396.8,359.5
16-Jan,309.2,439.9,25.84,0.05464,293.5,356.9,535.1,454.3
16-Feb,281.3,358.1,7.96,0.05095,206.2,310.5,419,328.8
16-Mar,282,361.6,4.21,0.04121,202,225.2,272.1,175.5
16-Apr,182.7,232.3,2.415,0.03717,65.5,69.2,73.07,45.1
16-May,73.47,83.66,1.205,0.03983,32.35,10.44,8.235,15.88
16-Jun,17.01,15.23,0.4475,0.0793,4.449,4.093,0.001445,2.255
16-Jul,4.358,7.89,0.2411,0.1144,1.312,0.289,0,1.198
16-Aug,2.941,11.83,0.3063,0.09918,1.507,0.0122,0.007209,1.361
16-Sep,10.69,21.45,0.5218,0.09472,4.856,0.9764,0.03788,8.323
16-Oct,146.5,223.5,1.878,0.07845,69.72,31.12,47.22,75.77
16-Nov,243.6,351.9,3.84,0.05957,161,154.2,245,221.2
16-Dec,354,420,11.57,0.06169,289.1,268.5,410.2,328.4
17-Jan,433.4,548.4,26.3,0.09311,385.6,367.1,502.4,379.3
17-Feb,248.5,348.2,6.508,0.08714,220.9,313.5,410.4,292.7
17-Mar,185.7,254.9,5.329,0.09575,147,275.8,300.3,205.2
17-Apr,168.3,245.4,2.434,0.07425,88.57,90.92,79.53,50.02
17-May,62.08,82.51,1.278,0.05701,26.1,13.09,4.333,12.05
17-Jun,7.155,8.651,0.6437,0.1001,1.806,5.969,0.05767,3.838
17-Jul,1.875,7.872,0.216,0.1532,1.332,0.07313,0,1.152
17-Aug,4.964,9.488,0.2634,0.142,1.248,0.09017,0.0001724,2.818
17-Sep,49.72,88.86,0.6089,0.1074,14.16,2.184,0.4474,8.516
17-Oct,83.07,139.6,1.907,0.08609,44.07,40.72,49.41,75.32
17-Nov,259.2,317.5,5.119,0.07565,186.2,162.6,283.4,205.3
17-Dec,337.3,401.6,14.83,0.08148,319.2,340.9,505.6,369.9
18-Jan,262.7,363.2,39.77,0.09456,255.5,394.7,571.5,459.3
18-Feb,383.3,487.9,7.361,0.09669,306.1,346.9,459.2,337.3
18-Mar,279.9,402,4.095,0.09417,232.3,200.3,253.6,164.4
18-Apr,105.4,105.9,2.434,0.08037,57.96,63.54,106,60.87
18-May,54,41.3,1.59,0.09886,17.41,22.15,16.57,10.74
18-Jun,5.098,14.38,0.6009,0.1436,1.922,4.695,0.05369,2.311
18-Jul,0.2792,1.857,0.2849,0.1479,0.8515,0.6575,0.001636,1.144
18-Aug,2.906,7.424,0.223,0.1755,1.279,0.2282,0,1.244
18-Sep,22.85,55.12,0.8126,0.1443,6.507,2.013,0.6936,12.94
18-Oct,104.5,155,3.032,0.109,29.89,24.67,101.5,68.76
18-Nov,227,310.5,5.133,0.08642,135.8,113.6,235.4,195.6
18-Dec,282.3,364,26.86,0.06954,280.8,279.6,476.7,393.2
19-Jan,377.6,465.3,30.13,0.08493,354,359.2,498.8,406.2
19-Feb,256.4,322.6,11.78,0.1015,238,282.5,392.6,327.3
19-Mar,212.2,278.8,5.725,0.1088,166.1,223.5,274.3,170.2
19-Apr,160.1,181.3,2.404,0.07382,103.9,118,129.4,59.38
19-May,101.8,149.1,1.729,0.1054,63.7,14.18,8.329,14.18
19-Jun,18.69,3.587,0.8723,0.1042,1.63,3.123,0.04028,2.405
19-Jul,0.6304,9.2,0.3122,0.1846,0.9943,0.21,0,1.586
19-Aug,1.74,2.893,0.285,0.162,1.105,0.07788,0,1.573
19-Sep,18.42,57.31,0.4272,0.1484,6.328,1.092,0.06458,8.132
19-Oct,81.24,150.8,2.374,0.1252,27.84,16.92,40.38,63.19
19-Nov,246,316.4,4.882,0.09661,138.2,129.3,229.1,185.5
19-Dec,277.5,368.7,42.76,0.07529,237,264.1,423.2,352.4
20-Jan,301.5,378.4,37.16,0.06923,295.4,303.1,420.3,387.2
20-Feb,221.9,299.9,13.58,0.06271,205,279.6,367.4,278.1
20-Mar,238.1,317.9,5.375,0.06641,204.2,205.1,255.2,165.3
20-Apr,84.55,149.9,2.839,0.06217,85.78,133.6,150.6,77.23
20-May,50.76,116.1,1.515,0.0575,12.58,15.41,10.4,12.73
20-Jun,19.61,22.68,0.631,0.1079,5.411,1.43,0.001131,2.569
20-Jul,1.158,8.912,0.2683,0.1428,1.219,0.1041,0.0005857,1.345
20-Aug,3.882,4.537,0.2062,0.1452,1.41,0.1421,0,1.872
20-Sep,27.96,50.26,0.5602,0.1048,11.66,1.151,0.09422,9.114
20-Oct,127,172.2,1.929,0.1104,72.98,36.78,73.41,72.3
20-Nov,198.3,284.6,5.602,0.08962,147.6,113.3,229.4,185
20-Dec,301.5,388.2,28.52,0.09333,266.5,308.3,484.3,408.2
21-Jan,368.9,463.1,36.51,0.09251,326.6,374.1,529.5,422.1
21-Feb,249.1,380.5,7.525,0.1092,215.4,266.1,359,235
21-Mar,251.3,334.5,4.117,0.13,215.1,167.3,226.3,164.5
21-Apr,202.1,288.4,3.064,0.1229,140.6,87.34,86.6,67.05
21-May,112.2,162,1.745,0.08578,30.45,17.46,25.21,13.87
21-Jun,6.862,4.011,0.645,0.1507,1.877,1.236,0.004174,2.726
21-Jul,2.444,3.131,0.2708,0.16,1.43,0.07224,0,1.161
21-Aug,4.145,18.02,0.2893,0.153,2.356,0.1945,0,1.934
21-Sep,15.84,38.83,0.3979,0.1227,4.021,1.021,0.00007056,6.556
21-Oct,122.3,188.6,2.187,0.1043,72.27,38.48,76.75,78.71
21-Nov,275,329.8,4.887,0.08151,149.3,122.2,223.6,202.7
21-Dec,303.6,399.2,22.42,0.08863,287.6,297.6,442.6,347.1
22-Jan,366,403,40.69,0.1335,313.8,386.9,525.1,402.6
22-Feb,245.8,311.9,13.57,0.1218,226,346.2,451.5,359.8
22-Mar,216.2,318.9,3.507,0.1102,234.4,208,262.2,156
22-Apr,155.6,233.8,1.677,0.09851,113,80.24,86.68,58.85
22-May,34.86,60.57,1.089,0.1091,14.74,21.53,12.29,19.26
22-Jun,4.606,9.833,0.6702,0.1593,1.28,5.146,0.1692,2.336
22-Jul,0.5799,3.345,0.1951,0.1613,0.5053,0.02134,0,1.173
22-Aug,0.2877,0.5395,0.2156,0.1737,0.9637,0.008927,0,1.972
22-Sep,43.03,90.6,0.5459,0.1532,11.56,0.9111,0.2241,7.919
22-Oct,33.52,98.32,2.41,0.1151,11.03,39.8,75.72,72.98
22-Nov,186,273.4,5.199,0.1069,137.4,90.06,186,158.8
22-Dec,318.7,426.5,18.22,0.1266,224,316.6,542.4,416.6
