Country,France,Germany,India,Indonesia,Italy,Japan,Korea,China
12-Aug,20.34,18.59,26.16,25.28,24.7,25.39,25.99,19.3
12-Sep,15.87,13.88,25.84,25.74,19.82,23.13,20.52,14.4
12-Oct,12.68,8.952,24.03,26.03,16.09,16.87,15.33,7.513
12-Nov,8.015,5.388,20.43,26,12.19,10.48,7.714,-0.6817
12-Dec,5.844,1.635,17.87,25.88,6.341,4.645,-0.001761,-7.07
13-Jan,3.823,0.3384,16.59,25.94,6.337,2.626,-0.4612,-7.889
13-Feb,2.603,-0.5746,19.73,25.86,5.054,3.52,1.366,-4.028
13-Mar,5.867,0.1483,24.1,26.31,8.645,7.73,6.419,3.388
13-Apr,9.798,8.127,27.37,26.27,13.01,11.02,9.959,7.974
13-May,11.33,11.87,30.06,26.26,15.34,15.73,16.6,14.23
13-Jun,16.13,15.75,27.58,26.25,19.47,20.31,21.35,18.36
13-Jul,21.2,19.6,26.27,25.28,23.09,24.19,25.45,20.36
13-Aug,19.34,18.15,25.89,25.32,23.34,25.52,26.9,19.96
13-Sep,16.42,13.46,26.13,25.61,19.73,22.08,21.58,14.5
13-Oct,13.98,10.83,24.28,26,16.61,17.64,16.2,8.44
13-Nov,6.987,4.843,20.19,25.85,10.97,10.81,8.281,0.2796
13-Dec,5.298,3.724,17.37,25.74,7.513,5.892,2.84,-5.604
14-Jan,6.572,2.211,16.82,25.51,7.822,3.452,1.869,-6.065
14-Feb,6.698,4.457,18.8,25.84,8.808,3.681,3.148,-5.048
14-Mar,8.519,7.101,23.1,26.03,9.729,6.9,7.621,2.742
14-Apr,11.68,10.87,27.47,26.16,12.75,11.44,12.71,9.149
14-May,13.22,12.52,29.14,26.29,15.46,16.32,17.32,13.66
14-Jun,18.17,16.24,29.82,26.15,20.49,20.14,20.88,17.93
14-Jul,19.12,19.45,27.28,25.77,21.55,23.77,24.33,20.23
14-Aug,17.61,16.14,26.64,25.27,22.13,24.15,23.58,18.6
14-Sep,17.36,15.12,25.96,25.66,19.55,21.05,21.32,14.83
14-Oct,14.42,12.07,24.77,26.21,16.63,16.55,15.89,8.545
14-Nov,10.1,6.691,21.25,26.14,13.01,11.91,10.01,0.8066
14-Dec,5.376,2.872,17.21,25.94,8.19,4.599,0.9688,-6.244
15-Jan,4.571,2.321,16.56,25.67,6.767,4.197,1.747,-6.002
15-Feb,3.618,0.941,20.32,25.59,6.235,4.494,2.784,-2.839
15-Mar,7.84,5.311,23.33,25.89,9.336,7.907,6.693,2.951
15-Apr,11.56,8.544,26.66,26.1,12.3,12.64,12.02,8.645
15-May,14.28,12.42,29.94,26.25,17.06,17.36,17.35,13.96
15-Jun,18.49,15.87,28.3,25.94,20.86,19.61,20.68,17.59
15-Jul,21.27,19.45,27.32,25.71,25.41,23.51,23.67,20.01
15-Aug,20,19.95,26.75,25.54,23.59,24.39,24.96,19.06
15-Sep,14.82,13.16,26.75,25.91,19.81,20.9,20.93,14.63
15-Oct,11.41,8.623,25.38,26.25,15.22,16.07,15.81,8.714
15-Nov,10.09,7.664,21.92,26.35,11.54,12.59,11.07,1.479
15-Dec,8.458,6.646,18.22,26.37,8.221,7.676,4.881,-4.948
16-Jan,5.961,1.156,17.67,26.48,7.05,4.07,0.4863,-7.99
16-Feb,6.135,3.415,21.04,26.25,9.073,4.497,2.572,-4.059
16-Mar,6.677,4.128,25.02,26.68,9.195,7.948,7.364,3.413
16-Apr,9.698,8.005,29.12,26.77,13.63,12.83,13.09,9.689
16-May,13.61,13.79,29.92,26.85,15.67,17.52,17.59,13.69
16-Jun,17.07,17.08,29.13,26.26,20.12,20.01,21.39,18.4
16-Jul,19.81,18.72,26.76,25.96,23.45,23.66,24.81,20.75
16-Aug,20.09,17.89,26.57,26.16,22.58,25.53,26.45,19.94
16-Sep,18.02,17.08,26.28,26.13,19.92,22.51,21.86,15.47
16-Oct,11.31,8.664,24.85,26.16,15.18,17.22,16.52,8.014
16-Nov,7.821,4.019,21.09,26.32,11.22,10.62,9.188,0.2938
16-Dec,4.696,2.399,18.53,26.21,7.48,7.038,4.464,-3.08
17-Jan,1.948,-1.821,17.43,26,4.047,3.862,1.435,-5.952
17-Feb,6.942,2.991,20.67,25.91,8.335,4.288,2.509,-2.413
17-Mar,9.699,7.283,24.06,26,10.87,6.609,6.568,1.756
17-Apr,10.22,7.534,28.58,26.14,12.6,12.26,13.04,9.268
17-May,15.23,14.18,30.17,26.38,16.93,17.02,17.6,14.37
17-Jun,19.65,17.84,28.56,25.9,22.3,19.1,20.87,17.82
17-Jul,20.07,18.14,26.89,25.7,23.74,24.72,25.73,21.02
17-Aug,19.76,17.99,26.72,25.64,24.64,24.71,25.46,19.33
17-Sep,14.76,13,26.7,25.94,18.44,21.31,21.16,15.57
17-Oct,13.43,11.32,25.35,26.37,15.46,16.55,16.07,8.155
17-Nov,7.054,5.299,21.05,26.16,10.12,10.64,7.986,0.4316
17-Dec,4.822,2.86,18.17,26.15,6.239,4.906,1.504,-4.707
18-Jan,7.292,3.813,17.14,25.93,8.087,3.3,-0.6054,-7.577
18-Feb,2.26,-1.657,20.57,25.93,5.305,3.019,0.8026,-4.393
18-Mar,6.799,2.425,24.79,26,8.633,8.535,7.748,4.13
18-Apr,12.52,12.33,27.89,26.28,14.3,13.01,12.49,9.506
18-May,14.87,16.12,29.85,26.25,17.11,16.7,16.78,14.47
18-Jun,18.67,17.82,28.91,25.95,20.8,20.07,21.19,18.64
18-Jul,21.66,20.46,26.91,25.72,23.68,24.63,25.92,20.86
18-Aug,20.65,20.07,26.43,25.76,23.53,24.96,26.84,19.93
18-Sep,17.44,15.33,26.13,25.82,20.53,21.69,21.04,14.54
18-Oct,12.99,10.97,24.65,26.15,16.48,16.9,14.23,7.073
18-Nov,8.387,5.418,21.4,26.22,11.81,12.12,9.617,0.1227
18-Dec,6.776,4.044,17.27,26.22,7.563,6.773,2.725,-6.803
19-Jan,3.532,0.8363,16.66,26.08,4.786,4.252,1.573,-6.911
19-Feb,6.755,4.137,19.69,26.08,7.514,5.251,3.135,-4.126
19-Mar,8.812,6.68,23.69,26.22,10.25,7.991,7.484,2.513
19-Apr,10.32,9.714,28.38,26.47,12.06,11.65,11.52,9.801
19-May,12.52,11.09,30.12,26.51,13.73,17.27,17.52,13.47
19-Jun,18.75,19.85,29.88,25.94,22.4,19.8,20.42,18.03
19-Jul,21.49,18.99,27.38,25.48,23.97,23.17,23.99,20.01
19-Aug,20.24,19.21,26.6,25.6,24.12,25.16,25.82,19.68
19-Sep,16.96,14.26,26.12,25.8,20.26,22.87,21.96,15.79
19-Oct,13.68,10.99,24.3,26,16.75,17.94,16.59,8.461
19-Nov,7.561,5.4,21.64,26.58,11.77,11.42,10.05,1.223
19-Dec,7.005,3.921,17.1,26.35,8.768,7.163,4.234,-5.64
20-Jan,6.099,3.628,16.81,26.46,6.974,5.739,3.894,-6.393
20-Feb,8.113,5.37,19.38,26.43,8.971,5.563,4.394,-2.737
20-Mar,8.114,5.383,23.05,26.5,9.234,8.742,8.022,3.13
20-Apr,12.94,10.46,27.21,26.55,12.7,10.73,10.67,8.418
20-May,15.47,12.01,29.35,26.76,17.1,16.84,16.67,14.27
20-Jun,17.1,16.99,27.95,26.04,19.69,20.96,21.66,18.17
20-Jul,20.25,17.79,27.37,25.6,23.21,22.74,22.33,20.08
20-Aug,20.89,20.09,26.7,25.98,24.02,25.96,26.21,19.6
20-Sep,17.41,15.04,26.8,25.92,20.44,22.52,20.82,15.22
20-Oct,11.64,10.34,25.22,26.21,14.51,16.68,15,8.124
20-Nov,9.328,6.37,20.83,26.28,11.65,12.29,9.738,1.338
20-Dec,6.011,3.202,17.67,26.1,7.899,5.807,2.29,-6.503
21-Jan,3.796,0.7588,17.58,25.85,5.971,3.425,0.801,-6.974
21-Feb,7.161,1.816,20.2,26.08,8.431,5.595,4.198,-1.239
21-Mar,7.669,4.852,24.85,25.97,8.759,9.532,8.721,4.104
21-Apr,9.197,6.132,27.52,26.28,10.97,12.28,12.78,8.051
21-May,12.36,10.76,28.08,26.44,15.65,16.59,16.26,14
21-Jun,18.63,18.99,27.71,26.02,21.87,20.56,21.14,18.31
21-Jul,19.06,18.47,27.28,25.92,23.81,24.48,25.77,21.08
21-Aug,18.49,16.51,26.77,25.74,23.85,24.67,25.1,19.02
21-Sep,17.62,15.33,26.19,25.86,20.73,21.94,22.09,16.1
21-Oct,12.08,9.84,24.88,26.46,14.71,17.33,16.5,8.207
21-Nov,6.611,5.096,20.84,26.22,11.54,12.03,9.938,-0.1421
21-Dec,5.952,2.677,17.59,26.2,7.318,6.332,3.706,-5.244
22-Jan,3.947,2.893,16.48,26,6.244,3.563,0.9469,-6.75
22-Feb,6.939,4.559,19.14,25.93,7.924,3.442,1.11,-5.935
22-Mar,8.764,5.224,25.26,26.26,8.139,8.42,7.718,4.498
22-Apr,10.52,7.798,28.95,26.42,11.77,13.08,13.07,9.547
22-May,16.35,14.46,29.58,26.55,17.98,16.74,17.28,14.27
22-Jun,19.58,18.34,29,25.86,23.36,20.37,21.56,18.96
22-Jul,21.89,19.19,26.83,25.79,25.31,24.61,25.57,21.13
22-Aug,22.05,20.33,26.59,25.74,24.17,25.38,25.49,20.2
22-Sep,16.55,13.5,26.25,25.94,20.23,22.87,21.55,15.78
22-Oct,15.84,12.65,24.12,26.07,17.44,16.72,15.01,7.809
22-Nov,9.659,6.499,20.74,26.1,12.01,13.03,10.94,1.722
22-Dec,5.768,1.912,18.44,25.98,9.403,5.622,0.8026,-6.478
